"position","game_title"
"50"," King's Quest III: To Heir Is Human"
"49"," Dota 2"
"48"," Angry Birds"
"47"," Guitar Hero"
"46"," Resident Evil 4"
"45", "Gran Turismo 3: A-Spec"
"44"," Super Smash Bros."
"43"," Call of Duty 2"
"42"," BioShock"
"41"," ESPN NFL 2K5"
"40"," Pong"
"39"," Castlevania"
"38"," Portal 2"
"37"," Braid"
"36"," Fallout 3"
"35"," Galaga"
"34"," Red Dead Redemption"
"33"," Super Mario Kart"
"32"," Wolfenstein 3D"
"31"," The Sims"
"30"," Pokemon Red & Blue"
"29"," Myst"
"28"," Donkey Kong"
"27"," Mortal Kombat"
"26"," StarCraft II: Wings of Liberty"
"25"," Halo: Combat Evolved"
"24"," Final Fantasy VII"
"23"," Microsoft Flight Simulator X"
"22"," GoldenEye 007"
"21"," Diablo II"
"20"," Zork"
"19"," Space Invaders"
"18"," Rise of the Tomb Raider"
"17"," Half-Life 2"
"16"," Grand Theft Auto III"
"15"," Counter-Strike"
"14"," Quake"
"13"," SimCity 2000"
"12"," Final Fantasy VI"
"11"," Sid Meier's Civilization IV"
"10"," World of Warcraft"
"9"," The Oregon Trail"
"8"," Super Mario Bros."
"7"," The Legend of Zelda"
"6"," Minecraft"
"5"," Ms. Pac-Man"
"4"," Doom"
"3"," The Legend of Zelda: Ocarina of Time"
"2"," Super Mario 64"
"1"," Tetris"
