"position","game_title","key","cited"
"736","Grand Theft Auto V","grandtheftautov","9","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'metacrict-2020', 'metacrict-2020', 'metacrict-2020', 'opencrict-2020', 'popular-mechanics', 'slant-magazine']"
"448","The Legend of Zelda: Ocarina of Time","thelegendofzeldaocarinaoftime","5","['ign-2019', 'metacrict-2020', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"439","Portal 2","portal2","7","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'metacrict-2020', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"433","Tetris","tetris","5","['game-designing', 'ign-2019', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"428","BioShock","bioshock","7","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'metacrict-2020', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"427","Resident Evil 4","residentevil4","6","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"410","The Legend of Zelda: Breath of the Wild","thelegendofzeldabreathofthewild","5","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'opencrict-2020', 'slant-magazine']"
"372","Half-Life 2","halflife2","5","['ign-2019', 'metacrict-2020', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"345","Mass Effect 2","masseffect2","6","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'metacrict-2020', 'popular-mechanics', 'slant-magazine']"
"337","Red Dead Redemption","reddeadredemption","5","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'slant-magazine', 'time-magazine']"
"334","Doom","doom","4","['ign-2019', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"334","Super Mario 64","supermario64","4","['ign-2019', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"328","Halo: Combat Evolved ","halocombatevolved","4","['ign-2019', 'metacrict-2020', 'popular-mechanics', 'time-magazine']"
"316","Final Fantasy VI","finalfantasyvi","4","['ign-2019', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"311","Red Dead Redemption 2","reddeadredemption2","4","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'opencrict-2020']"
"308","Minecraft","minecraft","4","['game-designing', 'ign-2019', 'popular-mechanics', 'time-magazine']"
"299","Shadow of the Colossus","shadowofthecolossus","4","['ign-2019', 'opencrict-2020', 'popular-mechanics', 'slant-magazine']"
"295","Ms. Pac-Man","mspacman","4","['ign-2019', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"293","GoldenEye 007","goldeneye007","5","['ign-2019', 'metacrict-2020', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"276","Super Mario Bros. 3","supermariobros3","3","['ign-2019', 'popular-mechanics', 'slant-magazine']"
"275","Super Mario World","supermarioworld","3","['ign-2019', 'popular-mechanics', 'slant-magazine']"
"265","Super Mario Odyssey","supermarioodyssey","4","['metacrict-2020', 'opencrict-2020', 'popular-mechanics', 'slant-magazine']"
"264","Super Mario Bros.","supermariobros","3","['game-designing', 'ign-2019', 'time-magazine']"
"264","The Last of Us","thelastofus","4","['ign-2019', 'metacrict-2020', 'popular-mechanics', 'slant-magazine']"
"258","Final Fantasy VII","finalfantasyvii","4","['ign-2019', 'popular-mechanics', 'slant-magazine', 'time-magazine']"
"250","Metal Gear Solid","metalgearsolid","4","['game-designing', 'ign-2019', 'metacrict-2020', 'popular-mechanics']"
"248","Chrono Trigger","chronotrigger","3","['ign-2019', 'popular-mechanics', 'slant-magazine']"
"246","Tony Hawk's Pro Skater 2","tonyhawksproskater2","4","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'metacrict-2020']"
"244","God of War","godofwar","5","['ign-2019', 'metacrict-2020', 'opencrict-2020', 'popular-mechanics', 'slant-magazine']"
"244","Super Metroid","supermetroid","3","['ign-2019', 'popular-mechanics', 'slant-magazine']"
"242","Metroid Prime","metroidprime","3","['ign-2019', 'metacrict-2020', 'slant-magazine']"
"227","Journey","journey","4","['ign-2019', 'opencrict-2020', 'popular-mechanics', 'slant-magazine']"
"222","The Legend of Zelda: A Link to the Past","thelegendofzeldaalinktothepast","3","['ign-2019', 'metacrict-2020', 'slant-magazine']"
"219","World of Warcraft","worldofwarcraft","3","['ign-2019', 'popular-mechanics', 'time-magazine']"
"216","Batman: Arkham City","batmanarkhamcity","4","['ign-2019', 'metacrict-2020', 'metacrict-2020', 'popular-mechanics']"
"216","Dark Souls","darksouls","3","['ign-2019', 'popular-mechanics', 'slant-magazine']"
"215","StarCraft","starcraft","3","['ign-2019', 'popular-mechanics', 'slant-magazine']"
