"position","game_title"
"100","The Oregon Trail"
"99","Pokemon Red/Blue"
"98","Super Smash Bros. Brawl"
"97","Pitfall!"
"96","Blades of Steel"
"95","Angry Birds"
"94","Seaman"
"93","Mortal Kombat"
"92","Star Wars"
"91","Pole Position"
"90","Streets of Rage 2"
"89","Grim Fandango"
"88","Heavy Rain"
"87","Tekken 3"
"86","NBA Jam"
"85","Medal of Honor"
"84","Asteroids"
"83","Shadow of the Colossus"
"82","Castlevania: Symphony of the Night"
"81","Dark Souls"
"80","The Secret of Monkey Island"
"79","Resident Evil 4"
"78","Counter-Strike"
"77","Mega Man 2"
"76","Tecmo Super Bowl"
"75","Chrono Trigger"
"74","NHL ’94"
"73","Lumines"
"72","Punch-Out!!"
"71","FIFA 12"
"70","Contra"
"69","Baldur’s Gate II: Shadows of Amn"
"68","Quake III Arena"
"67","Myst"
"66","Diablo"
"65","Sid Meier’s Civilization V"
"64","Tiger Woods PGA Tour 12"
"63","GoldenEye 007"
"62","Tom Clancy’s Splinter Cell: Chaos Theory"
"61","Okami"
"60","Halo: Combat Evolved"
"59","Limbo"
"58","Super Mario World"
"57","Red Dead Redemption"
"56","Metal Gear Solid 2: Sons of Liberty"
"55","NBA 2K11"
"54","Mass Effect 2"
"53","Tony Hawk’s Pro Skater 3"
"52","Mario Kart 64"
"51","Donkey Kong"
"50","Shenmue"
"49","Star Wars: Knights of the Old Republic"
"48","Ico"
"47","Street Fighter II"
"46","Braid"
"45","God of War"
"44","Super Mario Bros. 3"
"43","LittleBigPlanet"
"42","Final Fantasy VII"
"41","Madden NFL 2005"
"40","The Legend of Zelda"
"39","StarCraft II: Wings of Liberty"
"38","Batman: Arkham City"
"37","The Elder Scrolls V: Skyrim"
"36","World of Warcraft"
"35","Guitar Hero"
"34","The Sims"
"33","Super Mario Galaxy 2"
"32","Sonic the Hedgehog"
"31","Ms. Pac-Man"
"30","Grand Theft Auto: San Andreas"
"29","Galaga"
"28","Soul Calibur"
"27","Minecraft"
"26","The Walking Dead"
"25","Space Invaders"
"24","Uncharted 2: Among Thieves"
"23","Super Mario 64"
"22","Gran Turismo 3: A-Spec"
"21","Pong"
"20","Baseball Stars"
"19","ESPN NFL 2K5"
"18","Grand Theft Auto: Vice City"
"17","Bioshock"
"16","Journey"
"15","Battlefield: Bad Company 2"
"14","Call of Duty 4: Modern Warfare"
"13","Grand Theft Auto V"
"12","Doom"
"11","Metroid Prime"
"10","Deus Ex"
"9","Metal Gear Solid"
"8","Portal 2"
"7","The Last of Us"
"6","The Legend of Zelda: Ocarina of Time"
"5","Half-Life 2"
"4","Tetris"
"3","Grand Theft Auto III"
"2","Pac-Man"
"1","Super Mario Bros."
