"position","game_title"
"100","Pokémon Go"
"99","Borderlands 2"
"98","Divinity: Original Sin 2"
"97","Dishonored"
"96","Final Fantasy VII"
"95","Assassin's Creed IV: Black Flag"
"94","Monkey Island 2: LeChuck's Revenge"
"93","Burnout 3: Takedown"
"92","Fallout 2"
"91","Undertale"
"90","League of Legends"
"89","Mega Man 3"
"88","Soulcalibur"
"87","Thief II: The Metal Age"
"86","SimCity 2000"
"85","Inside"
"84","Contra"
"83","Tony Hawk's Pro Skater 2"
"82","Monster Hunter: World"
"81","Resident Evil 2 (Remake)"
"80","System Shock 2"
"79","Grand Theft Auto: Vice City"
"78","Persona 5"
"77","Fortnite"
"76","Fable 2"
"75","GoldenEye 007"
"74","Super Smash Bros. Ultimate"
"73","The Elder Scrolls V: Skyrim"
"72","X-COM: UFO Defense"
"71","Suikoden II"
"70","Battlefield 1942"
"69","Dota 2"
"68","Mario Kart 8 Deluxe"
"67","Star Wars Jedi Knight II: Jedi Outcast"
"66","Spelunky"
"65","Donkey Kong"
"64","The Sims"
"63","Rock Band"
"62","Red Dead Redemption 2"
"61","Splinter Cell: Chaos Theory"
"60","Super Mario World 2: Yoshi's Island"
"59","Silent Hill 2"
"58","Grand Theft Auto: San Andreas"
"57","Mass Effect"
"56","Call of Duty 4: Modern Warfare"
"55","Rise of the Tomb Raider"
"54","Batman: Arkham City"
"53","The Witness"
"52","Journey"
"51","Uncharted 2: Among Thieves"
"50","Overwatch"
"49","Deus Ex"
"48","Baldur's Gate II: Shadows of Amn"
"47","Ms. Pac-Man"
"46","Counter-Strike 1.6"
"45","Left 4 Dead 2"
"44","EarthBound"
"43","Resident Evil"
"42","Diablo II"
"41","StarCraft"
"40","World of Warcraft"
"39","Star Wars: Knights of the Old Republic"
"38","Fallout: New Vegas "
"37","Final Fantasy VI"
"36","Mass Effect 2"
"35","Pokémon Yellow"
"34","Bloodborne"
"33","Metroid Prime"
"32","Resident Evil 4"
"31","Shadow of the Colossus"
"30","Metal Gear Solid"
"29","God of War"
"28","The Witcher 3: Wild Hunt"
"27","BioShock"
"26","Sid Meier's Civilization IV"
"25","The Legend of Zelda: Ocarina of Time"
"24","Minecraft"
"23","Halo: Combat Evolved "
"22","Half-Life"
"21","Metal Gear Solid 3: Snake Eater"
"20","The Last of Us"
"19","Doom"
"18","Chrono Trigger"
"17","Portal"
"16","Dark Souls"
"15","Street Fighter II"
"14","Super Mario Bros."
"13","Halo 2"
"12","Castlevania: Symphony of the Night"
"11","Grand Theft Auto V"
"10","Super Mario 64"
"9","Red Dead Redemption"
"8","Half-Life 2"
"7","Tetris"
"6","Super Mario Bros. 3"
"5","The Legend of Zelda: Breath of the Wild"
"4","Super Metroid"
"3","Portal 2"
"2","The Legend of Zelda: A Link to the Past"
"1","Super Mario World"
