"position","game_title"
"1","The Legend of Zelda: Ocarina of Time"
"2","Tony Hawk's Pro Skater 2"
"3","Grand Theft Auto IV"
"4","SoulCalibur"
"5","Super Mario Galaxy"
"6","Super Mario Galaxy 2"
"7","Red Dead Redemption 2"
"8","Grand Theft Auto V"
"9","Disco Elysium: The Final Cut"
"10","The Legend of Zelda: Breath of the Wild"
"11","Tony Hawk's Pro Skater 3"
"12","Perfect Dark"
"13","Metroid Prime"
"14","Grand Theft Auto III"
"15","Super Mario Odyssey"
"16","Halo: Combat Evolved"
"17","NFL 2K1"
"18","Half-Life 2"
"19","BioShock"
"20","GoldenEye 007"
"21","Uncharted 2: Among Thieves"
"22","Resident Evil 4"
"23","The Orange Box"
"24","Batman: Arkham City"
"25","Tekken 3"
"26","Elden Ring"
"27","Mass Effect 2"
"28","The House in Fata Morgana - Dreams of the Revenants Edition -"
"29","The Legend of Zelda: Twilight Princess"
"30","The Elder Scrolls V: Skyrim"
"31","Half-Life"
"32","The Legend of Zelda: The Wind Waker"
"33","Gran Turismo"
"34","Metal Gear Solid 2: Sons of Liberty"
"35","Grand Theft Auto Double Pack"
"36","Baldur's Gate II: Shadows of Amn"
"37","Grand Theft Auto: San Andreas"
"38","Grand Theft Auto: Vice City"
"39","LittleBigPlanet"
"40","The Legend of Zelda Collector's Edition"
"41","Red Dead Redemption"
"42","Gran Turismo 3: A-Spec"
"43","Halo 2"
"44","The Legend of Zelda: A Link to the Past"
"45","The Legend of Zelda: Majora's Mask"
"46","The Last of Us"
"47","Madden NFL 2003"
"48","Persona 5 Royal"
"49","The Last of Us Remastered"
"50","Portal 2"
"51","Metal Gear Solid V: The Phantom Pain"
"52","Tetris Effect: Connected"
"53","World of Goo"
"54","BioShock Infinite"
"55","Final Fantasy IX"
"56","Call of Duty: Modern Warfare 2"
"57","God of War"
"58","Tony Hawk's Pro Skater 4"
"59","Devil May Cry"
"60","Call of Duty 4: Modern Warfare"
"61","Madden NFL 2002"
"62","The Legend of Zelda: Ocarina of Time 3D"
"63","Chrono Cross"
"64","Celeste"
"65","Madden NFL 2004"
"66","Gears of War"
"67","The Elder Scrolls IV: Oblivion"
"68","Sid Meier's Civilization II"
"69","Quake"
"70","Halo 3"
"71","Ninja Gaiden Black"
"72","Street Fighter IV"
"73","Super Mario Advance 4: Super Mario Bros. 3"
