"position","game_title"
"1","Super Mario Odyssey"
"2","Grand Theft Auto V"
"3","Red Dead Redemption 2"
"4","The Legend of Zelda: Breath of the Wild"
"5","God of War"
"6","The Last of Us Remastered"
"7","Persona 5 Royal"
"8","Persona 5"
"9","Hades"
"10","Super Mario 3D World"
"11","Divinity: Original Sin 2"
"12","Journey"
"13","Undertale"
"14","DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition"
"15","The Last of Us Part II"
"16","Resident Evil 2"
"17","Half-Life: Alyx"
"18","The Witcher 3: Wild Hunt - Blood and Wine"
"19","Super Smash Bros. Ultimate"
"20","Minecraft: PlayStation 4 Edition"
"21","Metal Gear Solid V: The Phantom Pain"
"22","Forza Horizon 4"
"23","Super Smash Bros. for Wii U"
"24","Demon's Souls (2020 Remake)"
"25","The Witcher 3: Wild Hunt"
"26","Shadow of the Colossus"
"27","Disco Elysium"
"28","Uncharted 4: A Thief's End"
"29","Microsoft Flight Simulator"
"30","Mario Kart 8 Deluxe"
"31","NieR: Automata Become as Gods Edition"
"32","Celeste"
"33","Divinity: Original Sin 2 – Definitive Edition"
"34","NieR: Automata Game of the YoRHa Edition"
"35","INSIDE"
"36","Bloodborne"
"37","Bayonetta 2"
"38","Final Fantasy XIV: Shadowbringers"
"39","Forza Horizon 3"
"40","Dota 2"
"41","Overwatch"
"42","Crusader Kings III"
"43","Mortal Kombat 11 Ultimate"
"44","Ori and the Will of the Wisps"
"45","Hollow Knight"
"46","Mario Kart 8 DLC Pack 2"
"47","Rayman Legends"
"48","DUSK"
"49","Sekiro: Shadows Die Twice"
"50","Animal Crossing: New Horizons"
"51","Monster Hunter World: Iceborne"
"52","Ori and the Blind Forest"
"53","Stardew Valley"
"54","Tony Hawk's Pro Skater 1 + 2"
"55","Dark Souls III"
"56","Tetris Effect"
"57","Devil May Cry 5: Special Edition"
"58","Mark of the Ninja: Remastered"
"59","Dreams"
"60","Monster Hunter World"
"61","Paradigm"
"62","Return of the Obra Dinn"
"63","The Legend of Zelda: Majora's Mask 3D"
"64","Super TIME Force Ultra"
"65","Euro Truck Simulator 2 - Road to the Black Sea"
"66","Pillars of Eternity"
"67","Diablo III: Ultimate Evil Edition"
"68","Nier: Automata"
"69","DOOM Eternal"
"70","Slay The Spire"
"71","Sid Meier's Civilization VI"
"72","Astro Bot Rescue Mission"
"73","Xenoblade Chronicles Definitive Edition"
"74","Kentucky Route Zero: Act IV"
"75","Hyper Light Drifter – Special Edition"
"76","Asgard's Wrath"
"77","The Witcher 3: Wild Hunt - Hearts of Stone"
"78","Lone Echo"
"79","Tales from the Borderlands: Episode Five - The Vault of the Traveler"
"80","Shovel Knight: Treasure Trove"
"81","Bayonetta 1+2 - Switch Collection"
"82","Pistol Whip"
"83","Dead Cells"
"84","Rez Infinite"
"85","Guacamelee! Super Turbo Championship Edition"
"86","The Legend of Zelda: A Link Between Worlds"
"87","Horizon Zero Dawn"
"88","Sonic Mania Plus"
"89","Rez Infinite (VR)"
"90","What Remains of Edith Finch"
"91","Tales from the Borderlands - Season One"
"92","Shovel Knight"
"93","Devil May Cry 5"
"94","Fire Emblem: Three Houses"
"95","Legends of Runeterra"
"96","The Binding of Isaac: Rebirth"
"97","Forza Motorsport 6"
"98","Stephen's Sausage Roll"
"99","Gotta Protectors"
"100","Mission: It's Complicated"
