"position","game_title"
"100","Warlords"
"99","The Sentinel"
"98","Suikoden 2"
"97","Manic Miner"
"96","Homeworld"
"95","Grand Theft Auto 4"
"94","Guitar Hero 2"
"93","Super Mario World 2: Yoshi's Island"
"92","Robotron: 2084"
"91","Dragon Warrior"
"90","Eve Online"
"89","Metroid"
"88","Call of Duty 4: Modern Warfare"
"87","NetHack"
"86","Doom 2"
"85","Katamari Damacy"
"84","Portal 2"
"83","Silent Hill 2"
"82","Adventure"
"81","Star Wars: Knights of the Old Republic"
"80","Guild Wars 2"
"79","Space Invaders"
"78","Secret of Mana"
"77","M.U.L.E."
"76","Habitat"
"75","Ultima Online"
"74","Dota 2"
"73","The Elder Scrolls 5: Skyrim"
"72","Burnout 3: Takedown"
"71","Super Smash Bros. Melee"
"70","Final Fantasy 7"
"69","Harvest Moon"
"68","League of Legends"
"67","Splinter Cell: Chaos Theory"
"66","Madden NFL 2005"
"65","ESPN NFL 2K5"
"64","Pong"
"63","Super Mario Galaxy"
"62","Chrono Trigger"
"61","Grand Theft Auto: San Andreas"
"60","GoldenEye 007"
"59","Super Mario Galaxy 2"
"58","NHL '94"
"57","Elite Beat Agents"
"56","Civilization 5"
"55","SimCity 2000"
"54","The Witcher 3: Wild Hunt"
"53","Dance Dance Revolution"
"52","Half-Life"
"51","Football Manager"
"50","Mass Effect 2"
"49","Dota"
"48","Shadow of the Colossus"
"47","Quest for Glory: So You Want to Be a Hero"
"46","Mother 3"
"45","Super Mario Kart"
"44","Guitar Hero"
"43","The Sims"
"42","Halo: Combat Evolved"
"41","Wii Sports"
"40","Dark Souls"
"39","The Legend of Zelda: Ocarina of Time"
"38","Diablo 2"
"37","Grand Theft Auto 5"
"36","Resident Evil 4"
"35","Donkey Kong"
"34","Super Mario World"
"33","Persona 4/Golden"
"32","Zork"
"31","Gone Home"
"30","Spelunky"
"29","EarthBound"
"28","The Elder Scrolls 3: Morrowind"
"27","Journey"
"26","NBA Jam"
"25","Metal Gear Solid"
"24","Dwarf Fortress"
"23","Rogue"
"22","FIFA 12"
"21","Super Mario Bros."
"20","The Legend of Zelda: A Link to the Past"
"19","Civilization 2"
"18","Castlevania: Symphony of the Night"
"17","Portal"
"16","Super Mario 64"
"15","SimCity"
"14","Half-Life 2"
"13","StarCraft"
"12","Grand Theft Auto 3"
"11","Final Fantasy 6"
"10","Super Metroid"
"9","Street Fighter II"
"8","Minecraft"
"7","World of Warcraft"
"6","Ms. Pac-Man"
"5","Pokemon Red and Blue"
"4","Doom"
"3","The Legend of Zelda"
"2","Super Mario Bros. 3"
"1","Tetris"
