"position","game_title"
"100","Gone Home"
"99","Shenmue II"
"98","Fire Emblem: Awakening"
"97","Silent Hill 2"
"96","Day of the Tentacle"
"95","Zork"
"94","Star Fox 64"
"93","Mega Man 2"
"92","Dungeon Master"
"91","Dota 2"
"90","Soulcalibur 2"
"89","Timesplitters 2"
"88","Dead Space"
"87","Twisted Metal"
"86","Cuphead"
"85","Gran Turismo 3 A-Spec"
"84","Prince of Persia: Sands of Time"
"83","Donkey Kong"
"82","Mike Tyson's Punch Out"
"81","Super Mario Odyssey"
"80","Double Dragon"
"79","Kingdom Hearts"
"78","Spy Hunter"
"77","Overwatch"
"76","Myst"
"75","Oregon Trail"
"74","NHL '94"
"73","Pitfall!"
"72","Grim Fandango"
"71","Stardew Valley"
"70","Gauntlet"
"69","Journey"
"68","God of War"
"67","Shin Megami Tensei: Persona 4"
"66","Diablo II"
"65","Teenage Mutant Ninja Turtles: Turtles in Time"
"64","Donkey Kong Country"
"63","Super Smash Bros. Melee"
"62","Undertale"
"61","Minecraft"
"60","Bloodborne"
"59","Tomb Raider"
"58","Secret of Mana"
"57","SimCity 2000"
"56","Legend of Zelda: Breath of the Wild"
"55","Rock Band 3"
"54","Super Mario RPG"
"53","Castlevania: Symphony of the Night"
"52","NBA Jam"
"51","Uncharted 2: Among Thieves"
"50","Mortal Kombat II"
"49","Left 4 Dead 2"
"48","Fallout 3"
"47","Tecmo Super Bowl"
"46","The Sims 3"
"45","Resident Evil 2"
"44","Wii Sports"
"43","Dark Souls"
"42","Skyrim"
"41","Tekken 3"
"40","Shadow of the Colossus"
"39","Super Metroid"
"38","Metal Gear Solid 3: Snake Eater"
"37","Super Mario 64"
"36","Grand Theft Auto V"
"35","Tetris"
"34","Fortnite"
"33","Final Fantasy VI"
"32","Call of Duty 4: Modern Warfare"
"31","World of Warcraft"
"30","Star Wars: Knights of the Old Republic"
"29","Pokemon Red & Blue"
"28","Chrono Trigger"
"27","The Last of Us"
"26","Assassin's Creed II"
"25","Super Smash Bros. Ultimate"
"24","Red Dead Redemption II"
"23","Batman: Arkham City"
"22","Civilization II"
"21","Sonic the Hedgehog"
"20","Resident Evil 4"
"19","Portal 2"
"18","StarCraft"
"17","Asteroids"
"16","Mother 3"
"15","Super Mario Bros. 3"
"14","Metal Gear Solid"
"13","Doom"
"12","The Legend of Zelda: Ocarina of Time"
"11","Super Mario Kart"
"10","GoldenEye 007"
"09","Half-Life 2"
"08","Mass Effect 2"
"07","BioShock"
"06","Street Fighter II"
"05","Ms. Pac-Man"
"04","Final Fantasy VII"
"03","Halo: Combat Evolved"
"02","Super Mario World"
"01","Legend of Zelda: A Link to the Past"
