"position","game_title"
"100","Ico"
"99","The Talos Principle"
"98","Spec Ops: The Line"
"97","Hitman 2"
"96","Conker�s Bad Fur Day"
"95","Star Fox 64"
"94","Hellblade: Senua�s Sacrifice"
"93","Cart Life"
"92","Ikaruga"
"91","Xenoblade Chronicles"
"90","Superhot"
"89","Myst"
"88","Grand Theft Auto: San Andreas"
"87","Missile Command"
"86","Elite Beat Agents"
"85","Paper Mario: The Thousand-Year Door"
"84","God of War"
"83","Phantasy Star IV: The End of the Millennium"
"82","Hotline Miami"
"81","Streets of Rage 2"
"80","Viewtiful Joe"
"79","Ninja Gaiden"
"78","SimCity"
"77","Halo 3"
"76","Three Fourths Home"
"75","The Binding of Isaac"
"74","Mega Man 2"
"73","Goldeneye 007"
"72","Banjo-Kazooie"
"71","Half-Life 2"
"70","Dishonored"
"69","Katamari Damacy"
"68","Titanfall 2"
"67","Street Fighter II Turbo: Hyper Fighting"
"66","Galaga"
"65","Super Mario World: Yoshi�s Island"
"64","Rock Band 3"
"63","Braid"
"62","Grim Fandango"
"61","WarioWare, Inc.: Mega Microgames!"
"60","Batman: Arkham Asylum"
"59","Beyond Good & Evil"
"58","Super Mario Kart"
"57","Inside"
"56","Super Mario Galaxy 2"
"55","Mega Man 3"
"54","Bayonetta"
"53","Return of the Obra Dinn"
"52","The Legend of Zelda: The Wind Waker"
"51","Super Mario RPG: Legend of the Seven Stars"
"50","Jet Set Radio"
"49","BioShock"
"48","Ms. Pac-Man"
"47","Killer7"
"46","Animal Crossing"
"45","Left 4 Dead 2"
"44","Grand Theft Auto V"
"43","The Legend of Zelda: Breath of the Wild"
"42","The Witcher 3: Wild Hunt"
"41","Metal Gear Solid 3: Snake Eater"
"40","Journey"
"39","Gone Home"
"38","Portal"
"37","Outer Wilds"
"36","Spelunky"
"35","The Last of Us"
"34","Psychonauts"
"33","Super Mario Odyssey"
"32","Disco Elysium"
"31","Fallout 2"
"30","Doom"
"29","Final Fantasy Tactics"
"28","Castlevania: Symphony of the Night"
"27","Max Payne"
"26","StarCraft"
"25","Dark Souls"
"24","The Legend of Zelda: A Link to the Past"
"23","Kentucky Route Zero"
"22","Super Mario World"
"21","Okami"
"20","Mass Effect 2"
"19","Planescape: Torment"
"18","Final Fantasy VII"
"17","Super Mario 64"
"16","EarthBound"
"15","Portal 2"
"14","Super Smash Bros. Melee"
"13","Super Metroid"
"12","Silent Hill 2"
"11","The Legend of Zelda: Ocarina of Time"
"10","Red Dead Redemption"
"9","NieR: Automata"
"8","Resident Evil 4"
"7","Metroid Prime"
"6","Chrono Trigger"
"5","Tetris"
"4","Shadow of the Colossus"
"3","Super Mario Bros. 3"
"2","Final Fantasy VI"
"1","The Legend of Zelda: Majora�s Mask"
