"position","game_title"
"30","Roller Coaster Tycoon 3"
"29","The Chronicles of Riddick: Escape From Butcher Bay"
"28","Uncharted 2: Among Thieves"
"27","Zork"
"26","SimCity 2000"
"25","Command & Conquer: Red Alert 2"
"24","Full Throttle"
"23","Super Mario RPG"
"22","Prison Architect"
"21","FTL: Faster Than Light"
"20","Alpha Protocol"
"19","Far Cry 2"
"18","World in Conflict"
"17","Max Payne 2: The Fall of Max Payne"
"16","Deus Ex: Invisible War"
"15","Counter-Strike"
"14","Splinter Cell: Double Agent"
"13","The Dig"
"12","Danganronpa: Trigger Happy Haovc"
"11","Portal 2"
"10","Red Dead Redemption"
"9","Burnout Paradise"
"8","Star Wars: TIE Fighter"
"7","Half-Life 2"
"6","Grand Theft Auto: San Andreas"
"5","Mass Effect 3"
"4","Star Wars: Knights of the Old Republic 2: The Sith Lords"
"3","Call of Duty: Black Ops 2"
"2","The Witcher 3: Wild Hunt"
"1","Gods Will Be Watching"
