"position","game_title"
"1","The Sims 2"
"2","The Legend of Zelda:Ocarina of Time"
"3","Half-Life 2"
"4","Super Mario 64"
"5","Grand Theft Auto:San Andreas"
"6","Halo 2"
"7","Gran Turismo 4"
"8","GoldenEye 007"
"9","Ico"
"10","Metal Gear Solid"
"11","Pro Evolution Soccer 4"
"12","Resident Evil 4"
"13","Super Mario Bros 3"
"14","Final Fantasy VII"
"15","SimCity 2000"
"16","Pokemon Fire Red/Leaf Green"
"17","Civilization II"
"18","Grand Theft Auto: Vice City"
"19","Super Mario Kart"
"20","Metroid Prime"
"21","Burnout Revenge"
"22","Age of Empires II"
"23","The Legend of Zelda: Wind Waker"
"24","Project Gotham Racing 2"
"25","Tekken 5"
"26","Splinter Cell Chaos Theory"
"27","Super Monkey Ball 2/Deluxe"
"28","World of Warcraft"
"29","Sam and Max Hit the Road"
"30","Rez"
"31","V8 Supercars 2"
"32","Doom 2"
"33","Wipeout 2097"
"34","Animal Crossing"
"35","Prince of Persia: The Sands of Time"
"36","PaRappa the Rapper"
"37","Battlefield 2"
"38","Grim Fandango"
"39","Fable"
"40","Tetris"
"41","WarioWare Touched"
"42","Oddworld: Stranger's Wrath"
"43","Tomb Raider"
"44","Sonic the Hedgehog 3"
"45","TIE Fighter"
"46","Deus Ex"
"47","Tony Hawk's Pro Skater 2"
"48","Rome:Total War"
"49","Pikmin 2"
"50","Counter-Strike"
